a_id,collection_date,age_at_collection_yrs,sn_at_collection,sex,health_status,surrendered,temperament,parasite,nemex_1,nemex_2,nemex_3,nemex_dose_number,ponazuril_dose_number,panacur_dose_number,age_group,parasite_type,results
A319899,2025-04-18,1.011111111111111,NA,female,healthy,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A319899,2025-04-18,1.011111111111111,NA,female,healthy,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A319899,2025-04-18,1.011111111111111,NA,female,healthy,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A319899,2025-04-18,1.011111111111111,NA,female,healthy,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A319903,2025-04-16,1.0055555555555555,Fixed,spayed_female,other,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A319903,2025-04-16,1.0055555555555555,Fixed,spayed_female,other,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A319903,2025-04-16,1.0055555555555555,Fixed,spayed_female,other,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A319903,2025-04-16,1.0055555555555555,Fixed,spayed_female,other,FALSE,unsocial,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A319911,2025-04-22,NA,NA,female,sick,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,NA,toxocara_roundworms,TRUE
A319911,2025-04-22,NA,NA,female,sick,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,NA,cystoisospora_felis_coccidia,TRUE
A319911,2025-04-22,NA,NA,female,sick,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,NA,sarco_like,TRUE
A319911,2025-04-22,NA,NA,female,sick,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,NA,toxoplasma,FALSE
A319921,2025-04-19,1.011111111111111,Intact,neutered_male,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A319921,2025-04-19,1.011111111111111,Intact,neutered_male,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A319921,2025-04-19,1.011111111111111,Intact,neutered_male,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A319921,2025-04-19,1.011111111111111,Intact,neutered_male,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A319991,2025-04-19,2.0055555555555555,NA,unknown,healthy,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A319991,2025-04-19,2.0055555555555555,NA,unknown,healthy,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,TRUE
A319991,2025-04-19,2.0055555555555555,NA,unknown,healthy,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A319991,2025-04-19,2.0055555555555555,NA,unknown,healthy,FALSE,unknown,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A319998,2025-04-19,1.9916666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,TRUE
A319998,2025-04-19,1.9916666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A319998,2025-04-19,1.9916666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A319998,2025-04-19,1.9916666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A320012,2025-04-19,1.0027777777777778,Intact,female,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320012,2025-04-19,1.0027777777777778,Intact,female,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A320012,2025-04-19,1.0027777777777778,Intact,female,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A320012,2025-04-19,1.0027777777777778,Intact,female,healthy,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A320362,2025-09-02,1.8416666666666663,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-15,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320362,2025-09-02,1.8416666666666663,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-15,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A320362,2025-09-02,1.8416666666666663,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-15,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A320362,2025-09-02,1.8416666666666663,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-15,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A320406,2025-06-07,1.102777777777778,Fixed,spayed_female,other,FALSE,social,TRUE,2025-04-30,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320406,2025-06-07,1.102777777777778,Fixed,spayed_female,other,FALSE,social,TRUE,2025-04-30,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,TRUE
A320406,2025-06-07,1.102777777777778,Fixed,spayed_female,other,FALSE,social,TRUE,2025-04-30,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A320406,2025-06-07,1.102777777777778,Fixed,spayed_female,other,FALSE,social,TRUE,2025-04-30,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A320428,2025-06-06,1.0972222222222223,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320428,2025-06-06,1.0972222222222223,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A320428,2025-06-06,1.0972222222222223,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A320428,2025-06-06,1.0972222222222223,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A320576,2025-06-09,1.0972222222222223,Intact,spayed_female,healthy,FALSE,social,TRUE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,TRUE
A320576,2025-06-09,1.0972222222222223,Intact,spayed_female,healthy,FALSE,social,TRUE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,TRUE
A320576,2025-06-09,1.0972222222222223,Intact,spayed_female,healthy,FALSE,social,TRUE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A320576,2025-06-09,1.0972222222222223,Intact,spayed_female,healthy,FALSE,social,TRUE,2025-05-04,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A320907,2025-06-09,2.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-11,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320907,2025-06-09,2.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-11,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A320907,2025-06-09,2.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-11,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A320907,2025-06-09,2.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-05-11,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A320925,2025-06-09,1.075,Fixed,neutered_male,other,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320925,2025-06-09,1.075,Fixed,neutered_male,other,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A320925,2025-06-09,1.075,Fixed,neutered_male,other,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A320925,2025-06-09,1.075,Fixed,neutered_male,other,FALSE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A320997,2025-06-09,0.7388888888888889,Intact,spayed_female,healthy,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A320997,2025-06-09,0.7388888888888889,Intact,spayed_female,healthy,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A320997,2025-06-09,0.7388888888888889,Intact,spayed_female,healthy,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A320997,2025-06-09,0.7388888888888889,Intact,spayed_female,healthy,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A321008,2025-06-06,1.5638888888888889,Fixed,neutered_male,other,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A321008,2025-06-06,1.5638888888888889,Fixed,neutered_male,other,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A321008,2025-06-06,1.5638888888888889,Fixed,neutered_male,other,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A321008,2025-06-06,1.5638888888888889,Fixed,neutered_male,other,TRUE,social,FALSE,2025-05-13,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A321551,2025-06-09,1.0416666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,TRUE
A321551,2025-06-09,1.0416666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A321551,2025-06-09,1.0416666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A321551,2025-06-09,1.0416666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A321616,2025-09-03,1.261111111111111,Fixed,spayed_female,other,TRUE,social,FALSE,2025-08-05,NA,NA,1,1,0,Adult (> 6 months),toxocara_roundworms,FALSE
A321616,2025-09-03,1.261111111111111,Fixed,spayed_female,other,TRUE,social,FALSE,2025-08-05,NA,NA,1,1,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A321616,2025-09-03,1.261111111111111,Fixed,spayed_female,other,TRUE,social,FALSE,2025-08-05,NA,NA,1,1,0,Adult (> 6 months),sarco_like,FALSE
